action_count,sum_individual_gain,max_individual_gain,mean_individual_gain,sum_nominal_reduction,mean_nominal_reduction,duration_actions,lag_actions,fast_track_actions,cycle_actions,unique_clusters,mean_path_position,min_path_position,max_path_position,resource_supported_fraction,mean_risk_score,exact_recovery_days,scenario_key
1.0,2.0,2.0,2.0,2.1,2.1,1.0,0.0,0.0,0.0,1.0,0.5263157894736842,0.5263157894736842,0.5263157894736842,1.0,3.0,2.0,UML-0126
1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.0,2.0,2.0,UML-0065
1.0,2.0,2.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.0,2.0,2.0,UML-0154
1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.0,2.0,2.0,UML-0155
1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.3815789473684211,0.3815789473684211,0.3815789473684211,0.0,2.0,2.0,UML-0158
1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.0,2.0,2.0,UML-0163
1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.0,2.0,2.0,UML-0168
1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.0,2.0,2.0,UML-0173
1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.75,0.75,0.75,0.0,2.0,2.0,UML-0186
1.0,2.0,2.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.8552631578947368,0.8552631578947368,0.8552631578947368,0.0,2.0,2.0,UML-0188
1.0,1.8,1.8,1.8,1.8,1.8,1.0,0.0,0.0,0.0,1.0,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.0,2.0,1.8,UML-0046
1.0,1.8,1.8,1.8,1.8,1.8,1.0,0.0,0.0,0.0,1.0,0.6578947368421053,0.6578947368421053,0.6578947368421053,1.0,2.0,1.8,UML-0083
1.0,1.8,1.8,1.8,1.8,1.8,1.0,0.0,0.0,0.0,1.0,0.75,0.75,0.75,1.0,2.0,1.8,UML-0053
1.0,1.8,1.8,1.8,1.8,1.8,1.0,0.0,0.0,0.0,1.0,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,2.0,1.8,UML-0128
1.0,1.6,1.6,1.6,1.6,1.6,1.0,0.0,0.0,0.0,1.0,0.3815789473684211,0.3815789473684211,0.3815789473684211,1.0,2.0,1.6,UML-0026
1.0,1.6,1.6,1.6,1.6,1.6,1.0,0.0,0.0,0.0,1.0,0.881578947368421,0.881578947368421,0.881578947368421,1.0,2.0,1.6,UML-0080
1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.0,2.0,1.5,UML-0139
1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.0,2.0,1.5,UML-0161
1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.4342105263157895,0.4342105263157895,0.4342105263157895,0.0,2.0,1.5,UML-0162
1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.5131578947368421,0.5131578947368421,0.5131578947368421,0.0,2.0,1.5,UML-0166
1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.0,2.0,1.5,UML-0167
1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.0,2.0,1.5,UML-0177
1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.8157894736842105,0.8157894736842105,0.8157894736842105,0.0,2.0,1.5,UML-0187
1.0,1.5,1.5,1.5,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.0,2.0,1.5,UML-0203
1.0,1.4,1.4,1.4,1.4,1.4,1.0,0.0,0.0,0.0,1.0,0.4342105263157895,0.4342105263157895,0.4342105263157895,1.0,2.0,1.4,UML-0134
1.0,1.4,1.4,1.4,1.4,1.4,1.0,0.0,0.0,0.0,1.0,0.5263157894736842,0.5263157894736842,0.5263157894736842,1.0,2.0,1.4,UML-0125
1.0,1.2,1.2,1.2,1.2,1.2,1.0,0.0,0.0,0.0,1.0,0.2894736842105263,0.2894736842105263,0.2894736842105263,1.0,2.0,1.2,UML-0037
1.0,1.2,1.2,1.2,1.2,1.2,1.0,0.0,0.0,0.0,1.0,0.14473684210526316,0.14473684210526316,0.14473684210526316,1.0,2.0,1.2,UML-0067
1.0,1.2,1.2,1.2,1.2,1.2,1.0,0.0,0.0,0.0,1.0,0.5657894736842105,0.5657894736842105,0.5657894736842105,1.0,2.0,1.2,UML-0007
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.18421052631578946,0.18421052631578946,0.18421052631578946,1.0,2.0,1.0,UML-0049
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.07894736842105263,0.07894736842105263,0.07894736842105263,1.0,2.0,1.0,UML-0019
1.0,1.0,1.0,1.0,1.4,1.4,1.0,0.0,0.0,0.0,1.0,0.34210526315789475,0.34210526315789475,0.34210526315789475,1.0,2.0,1.0,UML-0062
1.0,1.0,1.0,1.0,2.1,2.1,1.0,0.0,0.0,0.0,1.0,0.34210526315789475,0.34210526315789475,0.34210526315789475,1.0,3.0,1.0,UML-0063
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.47368421052631576,0.47368421052631576,0.47368421052631576,1.0,2.0,1.0,UML-0109
1.0,1.0,1.0,1.0,1.2,1.2,1.0,0.0,0.0,0.0,1.0,0.618421052631579,0.618421052631579,0.618421052631579,1.0,2.0,1.0,UML-0104
1.0,1.0,1.0,1.0,1.8,1.8,1.0,0.0,0.0,0.0,1.0,0.618421052631579,0.618421052631579,0.618421052631579,1.0,3.0,1.0,UML-0105
1.0,1.0,1.0,1.0,1.2,1.2,1.0,0.0,0.0,0.0,1.0,0.7105263157894737,0.7105263157894737,0.7105263157894737,1.0,2.0,1.0,UML-0089
1.0,1.0,1.0,1.0,1.8,1.8,1.0,0.0,0.0,0.0,1.0,0.7105263157894737,0.7105263157894737,0.7105263157894737,1.0,3.0,1.0,UML-0090
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.0,2.0,1.0,UML-0064
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.0,2.0,1.0,UML-0141
1.0,1.0,1.0,1.0,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.6973684210526315,0.6973684210526315,0.6973684210526315,0.0,2.0,1.0,UML-0142
1.0,1.0,1.0,1.0,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.0,2.0,1.0,UML-0143
1.0,1.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.0,2.0,1.0,UML-0146
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.881578947368421,0.881578947368421,0.881578947368421,0.0,2.0,1.0,UML-0151
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.32894736842105265,0.32894736842105265,0.32894736842105265,0.0,2.0,1.0,UML-0156
1.0,1.0,1.0,1.0,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.0,2.0,1.0,UML-0157
1.0,1.0,1.0,1.0,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.0,2.0,1.0,UML-0171
1.0,1.0,1.0,1.0,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.618421052631579,0.618421052631579,0.618421052631579,0.0,2.0,1.0,UML-0172
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.39473684210526316,0.39473684210526316,0.39473684210526316,1.0,3.0,0.9,UML-0117
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.3026315789473684,0.3026315789473684,0.3026315789473684,1.0,3.0,0.9,UML-0042
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.4868421052631579,0.4868421052631579,0.4868421052631579,1.0,3.0,0.9,UML-0099
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.5789473684210527,0.5789473684210527,0.5789473684210527,1.0,3.0,0.9,UML-0006
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.6578947368421053,0.6578947368421053,0.6578947368421053,1.0,2.0,0.9,UML-0082
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.75,0.75,0.75,1.0,2.0,0.9,UML-0052
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,2.0,0.9,UML-0127
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,1.0,3.0,0.9,UML-0024
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.9078947368421053,0.9078947368421053,0.9078947368421053,1.0,3.0,0.9,UML-0120
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.7763157894736842,0.7763157894736842,0.7763157894736842,1.0,3.0,0.9,UML-0057
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.8421052631578947,0.8421052631578947,0.8421052631578947,1.0,3.0,0.9,UML-0003
1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,0.0,0.0,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,3.0,0.9,UML-0102
1.0,0.8,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0,1.0,0.3815789473684211,0.3815789473684211,0.3815789473684211,1.0,2.0,0.8,UML-0025
1.0,0.8,0.8,0.8,0.8,0.8,1.0,0.0,0.0,0.0,1.0,0.881578947368421,0.881578947368421,0.881578947368421,1.0,2.0,0.8,UML-0079
1.0,0.7,0.7,0.7,0.7,0.7,1.0,0.0,0.0,0.0,1.0,0.34210526315789475,0.34210526315789475,0.34210526315789475,1.0,2.0,0.7,UML-0061
1.0,0.7,0.7,0.7,0.7,0.7,1.0,0.0,0.0,0.0,1.0,0.4342105263157895,0.4342105263157895,0.4342105263157895,1.0,2.0,0.7,UML-0133
1.0,0.7,0.7,0.7,0.7,0.7,1.0,0.0,0.0,0.0,1.0,0.5263157894736842,0.5263157894736842,0.5263157894736842,1.0,2.0,0.7,UML-0124
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.39473684210526316,0.39473684210526316,0.39473684210526316,1.0,2.0,0.6,UML-0116
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.09210526315789473,0.09210526315789473,0.09210526315789473,1.0,3.0,0.6,UML-0132
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.3026315789473684,0.3026315789473684,0.3026315789473684,1.0,2.0,0.6,UML-0041
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.19736842105263158,0.19736842105263158,0.19736842105263158,1.0,3.0,0.6,UML-0045
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.4868421052631579,0.4868421052631579,0.4868421052631579,1.0,2.0,0.6,UML-0098
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,1.0,3.0,0.6,UML-0072
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.5789473684210527,0.5789473684210527,0.5789473684210527,1.0,2.0,0.6,UML-0005
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.6710526315789473,0.6710526315789473,0.6710526315789473,1.0,3.0,0.6,UML-0030
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.7631578947368421,0.7631578947368421,0.7631578947368421,1.0,3.0,0.6,UML-0036
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.8289473684210527,0.8289473684210527,0.8289473684210527,1.0,3.0,0.6,UML-0123
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.35526315789473684,0.35526315789473684,0.35526315789473684,1.0,3.0,0.6,UML-0093
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.4473684210526316,0.4473684210526316,0.4473684210526316,1.0,3.0,0.6,UML-0087
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,3.0,0.6,UML-0114
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,1.0,2.0,0.6,UML-0023
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.5394736842105263,0.5394736842105263,0.5394736842105263,1.0,3.0,0.6,UML-0015
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.9868421052631579,0.9868421052631579,0.9868421052631579,1.0,3.0,0.6,UML-0108
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.631578947368421,0.631578947368421,0.631578947368421,1.0,3.0,0.6,UML-0078
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.7236842105263158,0.7236842105263158,0.7236842105263158,1.0,3.0,0.6,UML-0018
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.618421052631579,0.618421052631579,0.618421052631579,1.0,2.0,0.6,UML-0103
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.7105263157894737,0.7105263157894737,0.7105263157894737,1.0,2.0,0.6,UML-0088
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.9078947368421053,0.9078947368421053,0.9078947368421053,1.0,2.0,0.6,UML-0119
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.7763157894736842,0.7763157894736842,0.7763157894736842,1.0,2.0,0.6,UML-0056
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.8421052631578947,0.8421052631578947,0.8421052631578947,1.0,2.0,0.6,UML-0002
1.0,0.6,0.6,0.6,0.6,0.6,1.0,0.0,0.0,0.0,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,2.0,0.6,UML-0101
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.39473684210526316,0.39473684210526316,0.39473684210526316,0.0,3.0,0.54,UML-0159
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.4868421052631579,0.4868421052631579,0.4868421052631579,0.0,3.0,0.54,UML-0164
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.0,3.0,0.54,UML-0169
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.0,3.0,0.54,UML-0180
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.11842105263157894,0.11842105263157894,0.11842105263157894,0.0,3.0,0.54,UML-0190
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,3.0,0.54,UML-0192
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.0,3.0,0.54,UML-0194
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,3.0,0.54,UML-0196
1.0,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0,0.0,1.0,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.0,3.0,0.54,UML-0198
1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.7236842105263158,0.7236842105263158,0.7236842105263158,0.0,2.0,0.5,UML-0147
1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.0,2.0,0.5,UML-0191
1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.40789473684210525,0.40789473684210525,0.40789473684210525,0.0,2.0,0.5,UML-0193
1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,2.0,0.5,UML-0195
1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.5921052631578947,0.5921052631578947,0.5921052631578947,0.0,2.0,0.5,UML-0197
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.09210526315789473,0.09210526315789473,0.09210526315789473,1.0,2.0,0.4,UML-0131
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.19736842105263158,0.19736842105263158,0.19736842105263158,1.0,2.0,0.4,UML-0044
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,1.0,2.0,0.4,UML-0071
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.6710526315789473,0.6710526315789473,0.6710526315789473,1.0,2.0,0.4,UML-0029
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.7631578947368421,0.7631578947368421,0.7631578947368421,1.0,2.0,0.4,UML-0035
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.8289473684210527,0.8289473684210527,0.8289473684210527,1.0,2.0,0.4,UML-0122
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.35526315789473684,0.35526315789473684,0.35526315789473684,1.0,2.0,0.4,UML-0092
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.4473684210526316,0.4473684210526316,0.4473684210526316,1.0,2.0,0.4,UML-0086
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,1.0,2.0,0.4,UML-0113
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.5394736842105263,0.5394736842105263,0.5394736842105263,1.0,2.0,0.4,UML-0014
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.9868421052631579,0.9868421052631579,0.9868421052631579,1.0,2.0,0.4,UML-0107
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.631578947368421,0.631578947368421,0.631578947368421,1.0,2.0,0.4,UML-0077
1.0,0.4,0.4,0.4,0.4,0.4,1.0,0.0,0.0,0.0,1.0,0.7236842105263158,0.7236842105263158,0.7236842105263158,1.0,2.0,0.4,UML-0017
1.0,0.36,0.36,0.36,0.36,0.36,0.0,0.0,1.0,0.0,1.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,3.0,0.36,UML-0140
1.0,0.36,0.36,0.36,0.36,0.36,0.0,0.0,1.0,0.0,1.0,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.0,3.0,0.36,UML-0144
1.0,0.36,0.36,0.36,0.36,0.36,0.0,0.0,1.0,0.0,1.0,0.7763157894736842,0.7763157894736842,0.7763157894736842,0.0,3.0,0.36,UML-0145
1.0,0.36,0.36,0.36,0.36,0.36,0.0,0.0,1.0,0.0,1.0,0.7236842105263158,0.7236842105263158,0.7236842105263158,0.0,3.0,0.36,UML-0148
1.0,0.36,0.36,0.36,0.36,0.36,0.0,0.0,1.0,0.0,1.0,0.8289473684210527,0.8289473684210527,0.8289473684210527,0.0,3.0,0.36,UML-0149
1.0,0.36,0.36,0.36,0.36,0.36,0.0,0.0,1.0,0.0,1.0,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.0,3.0,0.36,UML-0150
