source_table,source_path,row_order,project_id,activity_id,activity_name,period,BAC,AC,EV,PV,CPI,SPI,CV,SV,update_date,planned_progress,actual_progress,planned_value,earned_value,actual_cost,notes
evm,01-data/import_templates/evm.csv,11,Nasr city-Tunnel,NCT-B-EXC-1100,Building B Excavation,May-26,13500000.00,14242500.00,13500000.00,13500000.00,0.95,1.00,-742500.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,12,Nasr city-Tunnel,NCT-B-PC-1110,Building B Plain Concrete,May-26,14625000.00,15795000.00,14625000.00,14625000.00,0.93,1.00,-1170000.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,13,Nasr city-Tunnel,NCT-B-RFT-1120,Building B Raft Reinforcement,May-26,15000000.00,15450000.00,15000000.00,15000000.00,0.97,1.00,-450000.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,14,Nasr city-Tunnel,NCT-B-CON-1130,Building B Raft Concrete,May-26,16125000.00,17011875.00,16125000.00,16125000.00,0.95,1.00,-886875.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,15,Nasr city-Tunnel,NCT-UTL-1140,Underground Drainage Network,May-26,17250000.00,18630000.00,17250000.00,17250000.00,0.93,1.00,-1380000.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,16,Nasr city-Tunnel,NCT-STR-1150,Ground Floor Structural Frame,May-26,17625000.00,16209281.67,15737166.67,17625000.00,0.97,0.89,-472115.00,-1887833.33,,,,,,,
evm,01-data/import_templates/evm.csv,17,Nasr city-Tunnel,NCT-MS-1160,Substructure Completion,May-26,18750000.00,18198750.00,17250000.00,18750000.00,0.95,0.92,-948750.00,-1500000.00,,,,,,,
progress_updates,01-data/import_templates/progress_updates.csv,1,Nasr city-Tunnel,NCT-MS-1000,,,,,,,,,,,31-May-26,1.00,1.00,4500000.00,4500000.00,4635000.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,2,Nasr city-Tunnel,NCT-MS-1010,,,,,,,,,,,31-May-26,1.00,1.00,5625000.00,5625000.00,5934375.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,3,Nasr city-Tunnel,NCT-ENG-1020,,,,,,,,,,,31-May-26,1.00,1.00,6750000.00,6750000.00,7290000.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,4,Nasr city-Tunnel,NCT-ENG-1030,,,,,,,,,,,31-May-26,1.00,1.00,7125000.00,7125000.00,7338750.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,5,Nasr city-Tunnel,NCT-PRC-1040,,,,,,,,,,,31-May-26,1.00,1.00,8250000.00,8250000.00,8703750.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,6,Nasr city-Tunnel,NCT-PRC-1050,,,,,,,,,,,31-May-26,1.00,1.00,9375000.00,9375000.00,10125000.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,7,Nasr city-Tunnel,NCT-A-EXC-1060,,,,,,,,,,,31-May-26,1.00,1.00,9750000.00,9750000.00,10042500.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,8,Nasr city-Tunnel,NCT-A-PC-1070,,,,,,,,,,,31-May-26,1.00,1.00,10875000.00,10875000.00,11473125.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,9,Nasr city-Tunnel,NCT-A-RFT-1080,,,,,,,,,,,31-May-26,1.00,1.00,12000000.00,12000000.00,12960000.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,10,Nasr city-Tunnel,NCT-A-CON-1090,,,,,,,,,,,31-May-26,1.00,1.00,12375000.00,12375000.00,12746250.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,11,Nasr city-Tunnel,NCT-B-EXC-1100,,,,,,,,,,,31-May-26,1.00,1.00,13500000.00,13500000.00,14242500.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,12,Nasr city-Tunnel,NCT-B-PC-1110,,,,,,,,,,,31-May-26,1.00,1.00,14625000.00,14625000.00,15795000.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,13,Nasr city-Tunnel,NCT-B-RFT-1120,,,,,,,,,,,31-May-26,1.00,1.00,15000000.00,15000000.00,15450000.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,14,Nasr city-Tunnel,NCT-B-CON-1130,,,,,,,,,,,31-May-26,1.00,1.00,16125000.00,16125000.00,17011875.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,15,Nasr city-Tunnel,NCT-UTL-1140,,,,,,,,,,,31-May-26,1.00,1.00,17250000.00,17250000.00,18630000.00,Completed
progress_updates,01-data/import_templates/progress_updates.csv,16,Nasr city-Tunnel,NCT-STR-1150,,,,,,,,,,,31-May-26,1.00,0.89,17625000.00,15737166.67,16209281.67,In progress under recovery sequence
progress_updates,01-data/import_templates/progress_updates.csv,17,Nasr city-Tunnel,NCT-MS-1160,,,,,,,,,,,31-May-26,1.00,0.92,18750000.00,17250000.00,18198750.00,In progress under recovery sequence
