source_table,source_path,row_order,project_id,wbs_code,wbs_name,total_activities,bl_project_duration,remaining_duration,total_float,bl_project_start,bl_project_finish,actual_start,actual_finish,schedule_%_complete,performance_%_complete,budget_at_completion,earned_value_cost,planned_value_cost,xer_pair_id,event_variant,baseline_source_id,impacted_source_id,data_date,baseline_schedule_name,impacted_update_name,baseline_project_finish,impacted_project_finish,parity_status,p6_operator,run_reference,notes,Activity ID,Activity Name,Predecessors,Predecessor Details,Successors,schedule_version,successor_activity_id,predecessor_activity_id,relationship_type,lag_days,source_id
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,3,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-NW-CONC-1070,Concrete casting after North wing raft RFT (North-Wing),CON-SM-NW-RFT-1050,CON-SM-NW-RFT-1050: FS 0,SM-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,4,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-SW-FORM-1050,Formwork readiness before South wing columns RFT (South-Wing),E-APP-SM-SW-1030,E-APP-SM-SW-1030: FS 0,CON-SM-SW-RFT-1060,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,5,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-SW-RFT-1060,RFT for South wing columns RFT (South-Wing),CON-SM-SW-FORM-1050,CON-SM-SW-FORM-1050: FS 0,CON-SM-SW-CONC-1080,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,6,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-SW-CONC-1080,Concrete casting after South wing columns RFT (South-Wing),CON-SM-SW-RFT-1060,CON-SM-SW-RFT-1060: FS 0,SM-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,7,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-AT-FORM-1060,Formwork readiness before Atrium transfer slab RFT (Atrium),E-APP-SM-AT-1040,E-APP-SM-AT-1040: FS 0,CON-SM-AT-RFT-1070,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,8,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-AT-RFT-1070,RFT for Atrium transfer slab RFT (Atrium),CON-SM-AT-FORM-1060,CON-SM-AT-FORM-1060: FS 0,CON-SM-AT-CONC-1090,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,9,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-AT-CONC-1090,Concrete casting after Atrium transfer slab RFT (Atrium),CON-SM-AT-RFT-1070,CON-SM-AT-RFT-1070: FS 0,SM-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,10,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-CB-FORM-1070,Formwork readiness before Cinema block shear wall RFT (Cinema-Block),E-APP-SM-CB-1050,E-APP-SM-CB-1050: FS 0,CON-SM-CB-RFT-1080,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,11,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-CB-RFT-1080,RFT for Cinema block shear wall RFT (Cinema-Block),CON-SM-CB-FORM-1070,CON-SM-CB-FORM-1070: FS 0,CON-SM-CB-CONC-1100,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,12,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-CB-CONC-1100,Concrete casting after Cinema block shear wall RFT (Cinema-Block),CON-SM-CB-RFT-1080,CON-SM-CB-RFT-1080: FS 0,SM-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,13,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-PP-FORM-1080,Formwork readiness before Parking podium slab RFT (Parking-Podium),E-APP-SM-PP-1060,E-APP-SM-PP-1060: FS 0,CON-SM-PP-RFT-1090,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,14,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-PP-RFT-1090,RFT for Parking podium slab RFT (Parking-Podium),CON-SM-PP-FORM-1080,CON-SM-PP-FORM-1080: FS 0,CON-SM-PP-CONC-1110,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,15,Sophia-Mall-P.02-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-SM-PP-CONC-1110,Concrete casting after Parking podium slab RFT (Parking-Podium),CON-SM-PP-RFT-1090,CON-SM-PP-RFT-1090: FS 0,SM-MS-1040,,,,,,
