master_project_id,master_activity_id,master_activity_row_order,master_evm_row_order,master_progress_row_order,activity__project_id,activity__wbs_id,activity__activity_id,activity__activity_name,activity__planned_start,activity__planned_finish,activity__actual_start,activity__actual_finish,activity__forecast_start,activity__forecast_finish,activity__planned_weight,activity__planned_progress,activity__actual_progress,activity__total_float_days,activity__is_critical,activity__responsible_party,evm__project_id,evm__activity_id,evm__activity_name,evm__period,evm__BAC,evm__AC,evm__EV,evm__PV,evm__CPI,evm__SPI,evm__CV,evm__SV,progress__project_id,progress__activity_id,progress__update_date,progress__planned_progress,progress__actual_progress,progress__planned_value,progress__earned_value,progress__actual_cost,progress__notes
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1000,10,97,97,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB.1,E-SUB-B04-WT-1000,Submittal for PC Raft Conc. Dim. DWGs (B04) (Water Tank),13-Sep-25,2-Oct-25,01-Nov-25 A,20-Nov-25 A,7-Feb-26,7-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1000,Submittal for PC Raft Conc. Dim. DWGs (B04) (Water Tank),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MS-1020,11,10,10,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SS,P-MS-1020,Submittal for Soil Replacement,14-Sep-25,4-Oct-25,14-Sep-25 A,04-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MS-1020,Submittal for Soil Replacement,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MS-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MS-1010,12,11,11,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SS,P-MS-1010,Submittal for Plain Concrete,14-Sep-25,4-Oct-25,14-Sep-25 A,04-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MS-1010,Submittal for Plain Concrete,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MS-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1010,13,100,100,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB.1,E-SUB-B04-WT-1010,Submittal for RC Raft Conc. Dim. DWGs (B04) (Water Tank),16-Sep-25,7-Oct-25,04-Nov-25 A,24-Nov-25 A,7-Feb-26,7-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1010,Submittal for RC Raft Conc. Dim. DWGs (B04) (Water Tank),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1020,14,103,103,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB.1,E-SUB-B04-WT-1020,Submittal for RC Raft RFT DWGs (B04) (Water Tank),20-Sep-25,11-Oct-25,08-Nov-25 A,27-Nov-25 A,7-Feb-26,7-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1020,Submittal for RC Raft RFT DWGs (B04) (Water Tank),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MS-1030,15,13,13,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SS,P-MS-1030,Submittal for Rc Concrete,21-Sep-25,12-Oct-25,21-Sep-25 A,12-Oct-25 A,22-Dec-25,22-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MS-1030,Submittal for Rc Concrete,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MS-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-FOOT-1000,16,14,14,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.F,E-SUB-B04-FOOT-1000,Submittal for  Waterproofing Layout Plan (B04),21-Sep-25,12-Oct-25,21-Sep-25 A,12-Oct-25 A,26-Jan-26,26-Jan-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B04-FOOT-1000,Submittal for  Waterproofing Layout Plan (B04),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B04-FOOT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1030,17,106,106,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB.1,E-SUB-B04-WT-1030,Submittal for Col. & Walls DWGs (B04) (Water Tank),23-Sep-25,14-Oct-25,12-Nov-25 A,30-Nov-25 A,7-Feb-26,7-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1030,Submittal for Col. & Walls DWGs (B04) (Water Tank),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MS-1040,18,18,18,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SS,P-MS-1040,Submittal for Waterproofing,23-Sep-25,14-Oct-25,23-Sep-25 A,14-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MS-1040,Submittal for Waterproofing,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MS-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MS-1050,19,19,19,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SS,P-MS-1050,Submittal for cold applied damp-proofing,23-Sep-25,14-Oct-25,23-Sep-25 A,14-Oct-25 A,7-Nov-26,7-Nov-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MS-1050,Submittal for cold applied damp-proofing,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MS-1050,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MS-1060,20,17,17,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SS,P-MS-1060,Submittal for cold Crystalline waterproofing for Water tank,23-Sep-25,14-Oct-25,23-Sep-25 A,14-Oct-25 A,20-May-27,20-May-27,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MS-1060,Submittal for cold Crystalline waterproofing for Water tank,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MS-1060,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B02-REP-1000,21,20,20,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUB.1,E-APP-B02-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B02),25-Sep-25,7-Oct-25,25-Sep-25 A,07-Oct-25 A,29-Jan-26,29-Jan-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-APP-B02-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B02),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-APP-B02-REP-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1040,22,108,108,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.2ndB.1,E-SUB-B04-WT-1040,Submittal for Slabs DWGs (B04) (Water Tank),27-Sep-25,18-Oct-25,14-Nov-25 A,30-Nov-25 A,10-Feb-26,10-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1040,Submittal for Slabs DWGs (B04) (Water Tank),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1040,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-REP-1000,23,22,22,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.1,E-SUB-B03-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B03),27-Sep-25,18-Oct-25,27-Sep-25 A,18-Oct-25 A,12-Feb-26,12-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B03-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B03),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B03-REP-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1000,24,12,12,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,E-SUB-B01-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs (B01) (footing),1-Oct-25,22-Oct-25,16-Sep-25 A,27-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs (B01) (footing),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MA-1000,25,25,25,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SA,P-MA-1000,Approval for RFT Rebar,2-Oct-25,14-Oct-25,02-Oct-25 A,14-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MA-1000,Approval for RFT Rebar,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MA-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B01-REP-1000,26,26,26,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUB.1,E-APP-B01-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B01),2-Oct-25,14-Oct-25,02-Oct-25 A,23-Nov-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-APP-B01-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B01),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-APP-B01-REP-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-WT-1000,27,32,32,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.2ndF.WT,E-APP-B04-WT-1000,Approval for PC Raft Conc. Dim. DWGs (B04) (Water Tank),4-Oct-25,15-Oct-25,07-Oct-25 A,17-Dec-25 A,7-Feb-26,7-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-APP-B04-WT-1000,Approval for PC Raft Conc. Dim. DWGs (B04) (Water Tank),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-APP-B04-WT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1010,28,28,28,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,E-SUB-B01-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs (B01) (footing),5-Oct-25,26-Oct-25,05-Oct-25 A,27-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs (B01) (footing),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MA-1010,29,29,29,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SA,P-MA-1010,Approval for Soil Replacement,5-Oct-25,16-Oct-25,05-Oct-25 A,16-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MA-1010,Approval for Soil Replacement,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MA-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,P-MA-1020,30,30,30,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.P.MS.SA,P-MA-1020,Approval for Plain Concrete,5-Oct-25,16-Oct-25,05-Oct-25 A,16-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,P-MA-1020,Approval for Plain Concrete,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,P-MA-1020,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1000,31,33,33,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.F,E-SUB-B02-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs (B02) (footing),7-Oct-25,27-Oct-25,07-Oct-25 A,27-Oct-25 A,29-Jan-26,29-Jan-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs (B02) (footing),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B03-REP-1000,32,34,34,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUB.4,E-APP-B03-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B03),7-Oct-25,18-Oct-25,07-Oct-25 A,18-Oct-25 A,12-Feb-26,12-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-APP-B03-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B03),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-APP-B03-REP-1000,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B04-FOOT-1010,33,35,35,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUB.F,E-SUB-B04-FOOT-1010,Submittal for PC Raft Conc. Dim. DWGs (B04) (footing),8-Oct-25,28-Oct-25,08-Oct-25 A,28-Oct-25 A,26-Jan-26,26-Jan-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B04-FOOT-1010,Submittal for PC Raft Conc. Dim. DWGs (B04) (footing),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B04-FOOT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-APP-B04-WT-1010,34,112,112,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.2ndF.WT,E-APP-B04-WT-1010,Approval for RC Raft Conc. Dim. DWGs (B04) (Water Tank),8-Oct-25,19-Oct-25,18-Nov-25 A,29-Nov-25 A,7-Feb-26,7-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-APP-B04-WT-1010,Approval for RC Raft Conc. Dim. DWGs (B04) (Water Tank),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-APP-B04-WT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1030,35,36,36,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.F,E-SUB-B02-FOOT-1030,Submittal for  Waterproofing Layout Plan (B02),8-Oct-25,28-Oct-25,08-Oct-25 A,28-Oct-25 A,29-Jan-26,29-Jan-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1030,Submittal for  Waterproofing Layout Plan (B02),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1030,36,24,24,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUB.F,E-SUB-B01-FOOT-1030,Submittal for  Waterproofing Layout Plan (B01),9-Oct-25,29-Oct-25,01-Oct-25 A,11-Oct-25 A,21-Dec-25,21-Dec-25,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1030,Submittal for  Waterproofing Layout Plan (B01),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B01-FOOT-1030,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1010,37,40,40,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUB.F,E-SUB-B02-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs (B02) (footing),11-Oct-25,30-Oct-25,11-Oct-25 A,30-Oct-25 A,29-Jan-26,29-Jan-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs (B02) (footing),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B02-FOOT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
The Big -P.01-UP-20-April-26,E-SUB-B03-FOOT-1010,38,41,41,The Big -P.01-UP-20-April-26,The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUB.F,E-SUB-B03-FOOT-1010,Submittal for PC Raft Conc. Dim. DWGs (B03) (footing),11-Oct-25,30-Oct-25,11-Oct-25 A,30-Oct-25 A,12-Feb-26,12-Feb-26,1,1.0,1.0,,No,,The Big -P.01-UP-20-April-26,E-SUB-B03-FOOT-1010,Submittal for PC Raft Conc. Dim. DWGs (B03) (footing),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,The Big -P.01-UP-20-April-26,E-SUB-B03-FOOT-1010,10-May-26,100.00%,100.00%,$0.00,$0.00,$0.00,
