source_table,source_path,row_order,project_id,Project Name,Contract No,Employer,Contractor,Consultant,Baseline Name,Impacted Update Name,Data Date,Prepared By,Report Revision,Report Date,Delay Category,Primary Cause Family,Primary Claim Position,project_key,project_name,contract_number,employer,contractor,consultant,baseline_schedule_name,baseline_data_date,impacted_update_name,impacted_data_date,analysis_data_date,prepared_by,report_revision,report_date,calendar_name,contract_time_unit,project_finish_milestone_id,Activity ID,Activity Name,Resource ID,Register Building / Zone Allocation,Drive Activity Dates,BL Start,BL Finish,Start,Finish,Allocation Date,Allocation Ref,Act. Start Status,Act. Finish Status,Original Duration,Actual Duration,Deviated Duration,Budgeted Units,Available units supplied by client vs Actual units of activities,Delayed duration in days due to steel un avilability in site,Remaining Units,Units % Complete,Budgeted Units / Time,Responsibility,Reason for Delay,Responsibility.1,Reason for Delay.1,Note,BL critical Path,BL Longest Path,Updated Critical Path,Updated Longest Path,source_id,source_role,source_file_name,source_relative_path,source_sha256,file_date,received_date,source_owner,source_status,notes,Coding No.,Supplier,Total Quantity,Date of delivery,Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence,event_id,event_variant,event_name,event_category,responsible_party,notice_status,event_start,event_finish,claimed_delay_days,affected_activity_id,evidence_reference,causation_status,criticality_status,inclusion_in_integrated_eot,analyst_status,fragnet_activity_id,fragnet_activity_name,activity_type,original_duration_days,fragnet_start,fragnet_finish,data_date,activity_id,milestone_activity_name,before_total_float_days,before_forecast_finish,after_total_float_days,after_forecast_finish,float_change_days,finish_movement_calendar_days,impact_assessment,verification_status,Unnamed: 4,overlap_id,contractor_event_id,employer_event_id,overlap_start,overlap_finish,overlap_calendar_days,concurrent_delay_days,apportionment_method,concurrency_adjustment_days,included_in_adjustment,entitlement_position,Primary Event ID,Delayed duration,Overlap Start,Overlap Finish,BL Critical Path,Current Critical Path,Delayed duration after overlap,Concurrent delay,WBS,Building / Zone,Total Float,Longest Path,First Affected Flag,Predecessor Activity ID,Predecessor Relationship Type,Predecessor Lag,Successor Activity ID,Successor Relationship Type,Successor Lag,Fragment Start,Fragment Finish,Fragment Duration,evidence_id,evidence_type,document_date,time_bar_status,compensation_status,entitlement_status,Dia,RFT for RC Raft & Footings (B03) (footing) 196,RFT for RC Raft (B04) (Water Tank) 45.81,RFT for RC Raft & Footings (B02) (footing) 155.5,RFT for Columns & Walls Below SOG (B03) (footing),RFT for Columns & Walls Below SOG (B02) (footing),RFT for RC Raft & Footings (B01) (footing),RFT for Columns & Walls Below SOG (B01) (footing),"RFT for Walls, Col. & Cores (B03) (Bas 02)",RFT for Walls (B04) (Water Tank),RFT for RC Raft & Footings (B04) (footing) 192,RFT for Columns & Walls Below SOG (B04) (footing),"RFT for Walls, Col. & Cores (B02) (Bas 02)",1-Oct-25,1-Dec-25,1-Feb-26,1-May-26,scenario_id,scenario_name,status_date,baseline_progress_percent,impacted_progress_percent,recovery_progress_percent,baseline_finish,impacted_finish,recovery_finish,predecessor_activity_id,successor_activity_id,relationship_type,lag_days,p6_update_reference,source_file,source_sheet,source_row,release_id,release_status,approval_status,baseline_project_finish,impacted_project_finish,gross_included_event_movement_days,integrated_eot_calendar_days,approved_matrix_reference,source_manifest_reference,approval_reference,approved_by,approved_date,reconciliation_id,issue_type,issue_description,historical_value,active_position,resolution_required,owner,status,artifact_id,artifact_type,artifact_title,output_filename,source_project_id,source_report_fingerprint,generated_at,review_status,publication_status
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,10,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B04-FOOT-1050,RFT for RC Raft & Footings (B04) (footing),BIG.Q.Rft,B04,Yes,15-Jan-26,24-Jan-26,1-Mar-26,7-May-26,14-Feb-26,ALLOC-007,Start,In Progress,8,51,-71,234.0,-293.685,-43,103.76,0.65,29.25,Employer,no RFT avilable,Employer,no RFT avilable,70 DAYS DELAYS DUE TO NO RFT Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,11,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B04-FOOT-1070,RFT for Columns & Walls Below SOG (B04) (footing),BIG.Q.Rft,B04,Yes,21-Jan-26,27-Jan-26,10-Mar-26,6-May-26,14-Feb-26,ALLOC-008,Start,In Progress,5,53,-42,142.0,-435.685,-48,1.1,0.65,28.4,Employer,no RFT avilable,Employer,no RFT avilable,69 DAYS DELAYS DUE TO NO RFT Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,12,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B02-BAS02-1010,"RFT for Walls, Col. & Cores (B02) (Bas 02)",BIG.Q.Rft,B02,Yes,5-Jan-26,19-Jan-26,21-Apr-26,04-My-26 ,14-Feb-26,ALLOC-009,Start,Finished,12,12,0,40.0,-475.685,0,0.0,1.0,3.333333333,,,Employer,no RFT avilable,13 DAYS DELAYS DUE TO NO RFT Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03- employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03- employer_steel_supply_at_site.csv,1,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMCO-PCO-MIR-STR-015-R00,Employer / Roya,146.8,29-Oct-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03- employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03- employer_steel_supply_at_site.csv,2,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMCO-PCO-MIR-STR-050-R00,Employer / Roya,440.18,09-Dec-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03- employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03- employer_steel_supply_at_site.csv,3,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMCO-PCO-MIR-STR-067-R00,Employer / Roya,52.71,14-Feb-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03- employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03- employer_steel_supply_at_site.csv,4,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMCO-PCO-MIR-STR-068-R00,Employer / Roya,181.73,14-Feb-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03- employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03- employer_steel_supply_at_site.csv,5,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMCO-PCO-MIR-STR-069-R00,Employer / Roya,60.425,14-Feb-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03- employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03- employer_steel_supply_at_site.csv,6,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMCO-PCO-MIR-STR-070-R00,Employer / Roya,76.25,15-Feb-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03- employer_steel_supply_at_site,02-delay_analysis/unified_tia_csv/03- employer_steel_supply_at_site.csv,7,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMCO-PCO-MIR-STR-080-R00,Employer / Roya,355.84,05-May-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,1,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Employer free-issue reinforcement steel delay - primary TIA clause,Clause 4.20 / Appendix advance payment steel supply / Clause 8.4 / Clause 20.1,"Employer-supplied or client supplied reinforcement steel is tied to the approved programme and advance-payment arrangement. Late, short, or unusable free-issue steel can support a Delay TIA only when the Contractor proves timely requisition, readiness to use the steel, and critical path impact.","Priority keywords: steel, reinforcement, RFT, free issue, employer supplied, client supplied, material shortage, approved programme, requisition, delivery notes, stock records, activity impacts, critical path, TIA, EOT. This should rank first for steel shortage events. The Contractor position is strongest where the affected activity was ready, predecessors were complete, and the delay window is measured from stock-out/need date to usable recovery.","Shared - Contractor has leverage on time if records prove readiness and criticality; Employer has leverage if requisitions, readiness, or critical path are weak.","Immediate notice under Clause 20.1 and monthly claim account required. State activity ID, required steel date, requested quantity, delivered quantity, shortage, affected programme update, and intended TIA fragnet.","Potential prolongation, disruption, and steel/concrete price adjustment only if non-Contractor delay and no uncompensable concurrency are proven.","Strong EOT candidate if the stock-out delays a critical or longest-path activity, consumes float, or delays a contractual milestone after proper TIA insertion.",Approved baseline/update programme; steel requisitions; delivery notes; stock ledger; material inspection records; activity readiness proof; predecessor completion; photos; daily reports; CPM/TIA fragnet; concurrency review; notice and monthly claim updates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,2,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advance payment steel supply mechanism,Appendix / Clause 14.2,"The 25 percent advance includes a steel-supply component, with 70 percent as steel supplied by the Employer according to the approved programme.","This links free-issue steel to payment and programme administration. It does not by itself prove delay; it proves the source of supply and makes approved programme dates, requisitions, and delivery records central evidence.",Shared,"Notify immediately when steel supply under the advance mechanism is late, short, or not usable against approved programme needs.",Affects advance/payment reconciliation and may support prolongation or escalation only when delay responsibility is established.,Supports causation for free-issue steel delay if the affected activity was ready and impacted the critical path.,Approved programme; advance-payment terms; steel delivery schedule; requisitions; receipts; delivery notes; shortage calculations; balance curve; correspondence requesting recovery commitments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06- contract_library,02-delay_analysis/unified_tia_csv/06- contract_library.csv,3,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extension of Time entitlement and TIA proof,Clause 8.4 / Clause 20.1,EOT is available only for qualifying Employer/Engineer risk events that delay completion or a contractual milestone and are claimed under the notice procedure.,"Use this row for all Delay TIA conclusions. A valid event needs cause, effect, critical path/float impact, contemporaneous notice, and an update-impact/TIA calculation. Simple addition of delay days is not enough.","Shared - Contractor if critical path proof and notice are strong; Employer if delay is non-critical, concurrent, or unsupported.","Strict Clause 20.1 notice, particulars, updates, and monthly claim account. Missing or late notices create high time-bar risk.","EOT protects from delay damages. Prolongation cost requires separate entitlement, causation, and concurrency proof.","Primary schedule entitlement route for steel, RFI, IFC, access, variation, and suspension events.",Delay event register; notice register; impacted update; baseline/update schedules; fragnet logic; narrative; float path comparison; milestone impact; concurrency matrix; mitigation records.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
