source_table,source_path,row_order,project_id,wbs_code,wbs_name,total_activities,bl_project_duration,remaining_duration,total_float,bl_project_start,bl_project_finish,actual_start,actual_finish,schedule_%_complete,performance_%_complete,budget_at_completion,earned_value_cost,planned_value_cost,xer_pair_id,event_variant,baseline_source_id,impacted_source_id,data_date,baseline_schedule_name,impacted_update_name,baseline_project_finish,impacted_project_finish,parity_status,p6_operator,run_reference,notes,Activity ID,Activity Name,Predecessors,Predecessor Details,Successors,schedule_version,successor_activity_id,predecessor_activity_id,relationship_type,lag_days,source_id
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PE-CONC-1070,Concrete casting after Portal raft reinforcement (Portal-East),CON-ST-PE-RFT-1050,CON-ST-PE-RFT-1050: FS 0,ST-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PW-FORM-1050,Formwork readiness before Cut-cover base slab RFT (Portal-West),E-APP-ST-PW-1030,E-APP-ST-PW-1030: FS 0,CON-ST-PW-RFT-1060,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PW-RFT-1060,RFT for Cut-cover base slab RFT (Portal-West),CON-ST-PW-FORM-1050,CON-ST-PW-FORM-1050: FS 0,CON-ST-PW-CONC-1080,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,6,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PW-CONC-1080,Concrete casting after Cut-cover base slab RFT (Portal-West),CON-ST-PW-RFT-1060,CON-ST-PW-RFT-1060: FS 0,ST-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,7,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-CC-FORM-1060,Formwork readiness before Vent shaft wall RFT (Cut-Cover),E-APP-ST-CC-1040,E-APP-ST-CC-1040: FS 0,CON-ST-CC-RFT-1070,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,8,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-CC-RFT-1070,RFT for Vent shaft wall RFT (Cut-Cover),CON-ST-CC-FORM-1060,CON-ST-CC-FORM-1060: FS 0,CON-ST-CC-CONC-1090,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,9,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-CC-CONC-1090,Concrete casting after Vent shaft wall RFT (Cut-Cover),CON-ST-CC-RFT-1070,CON-ST-CC-RFT-1070: FS 0,ST-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,10,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-VS-FORM-1070,Formwork readiness before Pump room slab RFT (Vent-Shaft),E-APP-ST-VS-1050,E-APP-ST-VS-1050: FS 0,CON-ST-VS-RFT-1080,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,11,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-VS-RFT-1080,RFT for Pump room slab RFT (Vent-Shaft),CON-ST-VS-FORM-1070,CON-ST-VS-FORM-1070: FS 0,CON-ST-VS-CONC-1100,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,12,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-VS-CONC-1100,Concrete casting after Pump room slab RFT (Vent-Shaft),CON-ST-VS-RFT-1080,CON-ST-VS-RFT-1080: FS 0,ST-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,13,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PR-FORM-1080,Formwork readiness before Tunnel approach retaining wall RFT (Pump-Room),E-APP-ST-PR-1060,E-APP-ST-PR-1060: FS 0,CON-ST-PR-RFT-1090,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,14,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PR-RFT-1090,RFT for Tunnel approach retaining wall RFT (Pump-Room),CON-ST-PR-FORM-1080,CON-ST-PR-FORM-1080: FS 0,CON-ST-PR-CONC-1110,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,15,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-ST-PR-CONC-1110,Concrete casting after Tunnel approach retaining wall RFT (Pump-Room),CON-ST-PR-RFT-1090,CON-ST-PR-RFT-1090: FS 0,ST-MS-1040,,,,,,
