source_table,source_path,row_order,project_id,wbs_id,activity_id,activity_name,planned_start,planned_finish,actual_start,actual_finish,forecast_start,forecast_finish,planned_weight,planned_progress,actual_progress,total_float_days,is_critical,responsible_party,Activity ID,Activity Name,WBS,Baseline Start,Baseline Finish,Start,Finish,Actual Start,Actual Finish,Remaining Duration,Total Float,Free Float,Critical,Longest Path,Predecessors,Successors,Remaining Units,Budgeted Units,Physical % Complete,schedule_version,wbs_code,activity_type,calendar_name,baseline_start,baseline_finish,remaining_duration_days,free_float_days,is_longest_path,physical_percent_complete,source_id,notes,master_project_id,master_activity_id,master_activity_row_order,master_evm_row_order,master_progress_row_order,activity__project_id,activity__wbs_id,activity__activity_id,activity__activity_name,activity__planned_start,activity__planned_finish,activity__actual_start,activity__actual_finish,activity__forecast_start,activity__forecast_finish,activity__planned_weight,activity__planned_progress,activity__actual_progress,activity__total_float_days,activity__is_critical,activity__responsible_party,evm__project_id,evm__activity_id,evm__activity_name,evm__period,evm__BAC,evm__AC,evm__EV,evm__PV,evm__CPI,evm__SPI,evm__CV,evm__SV,progress__project_id,progress__activity_id,progress__update_date,progress__planned_progress,progress__actual_progress,progress__planned_value,progress__earned_value,progress__actual_cost,progress__notes
activities,01-data/import_templates/activities.csv,11,Suez-Tunnel,Suez-Tunnel.CONSTRUCTION,CON-ST-CON-1030,Concrete casting for base slab,28-Jan-26,21-Feb-26,16-Feb-26 A,,16-Feb-26,13-Mar-26,0.1205,0.42,0.35,-36,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,12,Suez-Tunnel,Suez-Tunnel.CONSTRUCTION,CON-ST-WALL-1040,Tunnel wall reinforcement and formwork,26-Feb-26,27-Apr-26,20-Mar-26 A,,20-Mar-26,17-May-26,0.1205,0.25,0.21,-38,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,13,Suez-Tunnel,Suez-Tunnel.CONSTRUCTION,CON-ST-SLAB-1050,Roof slab reinforcement and concrete,27-Apr-26,1-Jul-26,13-May-26 A,,13-May-26,21-Jul-26,0.1205,0.05,0.04,-40,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,14,Suez-Tunnel,Suez-Tunnel.MEP,MEP-ST-DRN-1060,Drainage and pump station rough-in,13-Jun-26,7-Aug-26,,,29-Jun-26,15-Aug-26,0.0723,0.00,0.00,18,No,MEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,15,Suez-Tunnel,Suez-Tunnel.FINISHING,FIN-ST-RD-1070,Road reinstatement and asphalt works,12-Aug-26,11-Oct-26,,,28-Aug-26,19-Oct-26,0.0723,0.00,0.00,19,No,Roadworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,16,Suez-Tunnel,Suez-Tunnel.TESTING,TST-ST-1080,Integrated testing and commissioning,5-Nov-26,10-Dec-26,,,21-Nov-26,18-Dec-26,0.0241,0.00,0.00,-46,Yes,QA/QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,17,Suez-Tunnel,Suez-Tunnel.MILESTONE,KD-MS-9000,Substantial Completion,28-Feb-27,,,,16-Mar-27,,0.0120,0.00,0.00,-48,Yes,Project Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,ST-MS-1000,Project Start Date,Suez-Tunnel - P.01 - UP-26-JUN-26.KD.MI,15-Sep-25,,15-Sep-25,,15-Sep-25,,0,0,0,No,Yes,,ST-MOB-1010,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,2,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,ST-MS-1040,Structural Works Finish Date,Suez-Tunnel - P.01 - UP-26-JUN-26.KD.MI,,31-Dec-26,,21-May-27,,,0,-118,0,Yes,No,,ST-MS-1050,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,ST-MS-1050,Project Finish Date,Suez-Tunnel - P.01 - UP-26-JUN-26.KD.MI,,30-Apr-27,,18-Sep-27,,,0,-151,0,Yes,Yes,ST-HO-1000,,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PE-FORM-1040,Formwork readiness before Portal raft reinforcement (Portal-East),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Portal.East,29-Oct-25,12-Nov-25,15-Nov-25,1-Dec-25,15-Nov-25,1-Dec-25,0,-43,5,Yes,No,,CON-ST-PE-RFT-1050,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PE-RFT-1050,RFT for Portal raft reinforcement (Portal-East),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Portal.East,1-Nov-25,19-Nov-25,18-Nov-25,14-Dec-25,18-Nov-25,14-Dec-25,0,-18,5,No,No,CON-ST-PE-FORM-1040,CON-ST-PE-CONC-1070,0.0,100.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,6,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PE-CONC-1070,Concrete casting after Portal raft reinforcement (Portal-East),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Portal.East,3-Nov-25,6-Nov-25,20-Nov-25,25-Nov-25,20-Nov-25,25-Nov-25,0,12,2,Yes,No,CON-ST-PE-FORM-1040,ST-MS-1040,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,7,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PW-FORM-1050,Formwork readiness before Cut-cover base slab RFT (Portal-West),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Portal.West,17-Nov-25,23-Nov-25,16-Dec-25,30-Dec-25,16-Dec-25,30-Dec-25,0,-43,5,Yes,No,,CON-ST-PW-RFT-1060,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,8,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PW-RFT-1060,RFT for Cut-cover base slab RFT (Portal-West),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Portal.West,20-Nov-25,30-Nov-25,19-Dec-25,6-Jan-26,19-Dec-25,6-Jan-26,0,-95,0,No,No,CON-ST-PW-FORM-1050,CON-ST-PW-CONC-1080,0.0,134.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,9,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PW-CONC-1080,Concrete casting after Cut-cover base slab RFT (Portal-West),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Portal.West,22-Nov-25,25-Nov-25,21-Dec-25,1-Jan-26,21-Dec-25,1-Jan-26,0,-95,2,Yes,Yes,CON-ST-PW-FORM-1050,ST-MS-1040,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,10,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-CC-FORM-1060,Formwork readiness before Vent shaft wall RFT (Cut-Cover),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Cut.Cover,6-Dec-25,12-Dec-25,23-Dec-25,6-Jan-26,23-Dec-25,6-Jan-26,0,12,0,Yes,Yes,,CON-ST-CC-RFT-1070,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,11,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-CC-RFT-1070,RFT for Vent shaft wall RFT (Cut-Cover),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Cut.Cover,9-Dec-25,19-Dec-25,26-Dec-25,13-Jan-26,26-Dec-25,13-Jan-26,0,12,5,Yes,No,CON-ST-CC-FORM-1060,CON-ST-CC-CONC-1090,0.0,92.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,12,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-CC-CONC-1090,Concrete casting after Vent shaft wall RFT (Cut-Cover),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Cut.Cover,11-Dec-25,14-Dec-25,28-Dec-25,8-Jan-26,28-Dec-25,8-Jan-26,0,0,5,Yes,No,CON-ST-CC-FORM-1060,ST-MS-1040,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,13,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-VS-FORM-1070,Formwork readiness before Pump room slab RFT (Vent-Shaft),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Vent.Shaft,25-Dec-25,8-Jan-26,23-Jan-26,14-Feb-26,23-Jan-26,14-Feb-26,0,12,0,Yes,Yes,,CON-ST-VS-RFT-1080,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,14,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-VS-RFT-1080,RFT for Pump room slab RFT (Vent-Shaft),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Vent.Shaft,28-Dec-25,15-Jan-26,26-Jan-26,21-Feb-26,26-Jan-26,21-Feb-26,0,-18,0,No,Yes,CON-ST-VS-FORM-1070,CON-ST-VS-CONC-1100,0.0,104.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,15,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-VS-CONC-1100,Concrete casting after Pump room slab RFT (Vent-Shaft),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Vent.Shaft,30-Dec-25,2-Jan-26,28-Jan-26,8-Feb-26,28-Jan-26,8-Feb-26,0,-18,0,Yes,No,CON-ST-VS-FORM-1070,ST-MS-1040,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,16,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PR-FORM-1080,Formwork readiness before Tunnel approach retaining wall RFT (Pump-Room),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Pump.Room,13-Jan-26,27-Jan-26,11-Feb-26,5-Mar-26,11-Feb-26,5-Mar-26,0,-72,0,No,Yes,,CON-ST-PR-RFT-1090,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,17,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PR-RFT-1090,RFT for Tunnel approach retaining wall RFT (Pump-Room),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Pump.Room,16-Jan-26,3-Feb-26,14-Feb-26,12-Mar-26,14-Feb-26,12-Mar-26,0,-43,5,No,No,CON-ST-PR-FORM-1080,CON-ST-PR-CONC-1110,0.0,88.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,18,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,,,,,CON-ST-PR-CONC-1110,Concrete casting after Tunnel approach retaining wall RFT (Pump-Room),Suez-Tunnel - P.01 - UP-26-JUN-26.CON.Pump.Room,18-Jan-26,21-Jan-26,16-Feb-26,27-Feb-26,16-Feb-26,27-Feb-26,0,-95,0,No,No,CON-ST-PR-FORM-1080,ST-MS-1040,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
